epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94793,1.00523,2.50817,1.41103,0.00333,1,0.775,0.64634,0.56756,2.65222,1.28014,6e-05,6e-05,6e-05
2,2.91702,0.99684,2.41983,1.39985,0.00333,1,0.995,0.92029,0.26353,2.57463,0.96072,0.000137228,0.000137228,0.000137228
3,3.8606,0.85085,1.67524,1.27947,0.00333,1,0.995,0.7026,0.56676,2.44233,1.17947,0.000211288,0.000211288,0.000211288
4,4.74951,0.68462,1.0249,1.0978,0.00333,1,0.995,0.84154,0.72592,2.50454,1.33746,0.00028218,0.00028218,0.00028218
5,5.58804,0.77321,1.07822,1.25813,0.00333,1,0.995,0.8239,0.67183,2.46452,1.2776,0.000349904,0.000349904,0.000349904
6,6.43501,0.65676,0.95883,1.2215,0.98548,1,0.995,0.79981,0.62044,1.99592,1.21601,0.00041446,0.00041446,0.00041446
7,7.28946,0.71316,1.03313,1.1417,0.95696,1,0.995,0.917,0.45552,1.90963,1.08468,0.000475848,0.000475848,0.000475848
8,8.14009,0.72726,0.94726,1.17726,0.93102,1,0.995,0.88771,0.57269,1.97795,1.17619,0.000534068,0.000534068,0.000534068
9,8.97959,0.6198,0.93242,1.07742,0.9755,1,0.995,0.88771,0.53933,1.59979,1.13433,0.00058912,0.00058912,0.00058912
10,9.84073,0.70859,0.92739,1.18824,0.98283,1,0.995,0.94104,0.40411,1.51465,1.00469,0.000641004,0.000641004,0.000641004
11,10.7008,0.64466,0.93939,1.13108,0.97486,1,0.995,0.90456,0.47914,1.52019,1.083,0.00068972,0.00068972,0.00068972
12,11.5361,0.65059,0.86536,1.11284,0.99042,1,0.995,0.90102,0.49855,1.01185,1.06994,0.000735268,0.000735268,0.000735268
13,12.3875,0.64595,0.83691,1.10828,0.9814,1,0.995,0.90102,0.59627,1.06317,1.23556,0.000777648,0.000777648,0.000777648
14,13.2356,0.6444,0.80796,1.08944,0.97856,1,0.995,0.8725,0.58671,1.09874,1.24469,0.00081686,0.00081686,0.00081686
15,14.0902,0.61764,0.81183,1.12363,0.98183,1,0.995,0.86893,0.62039,1.27125,1.28426,0.000852904,0.000852904,0.000852904
16,14.911,0.67123,0.83345,1.09697,0.99008,1,0.995,0.8725,0.50948,1.03597,1.12477,0.00088578,0.00088578,0.00088578
17,15.7463,0.71115,0.89897,1.11648,0.99117,1,0.995,0.8955,0.49821,0.90947,1.10128,0.000915488,0.000915488,0.000915488
18,16.5954,0.57636,0.74485,1.04696,0.9917,1,0.995,0.89827,0.42778,0.68714,1.03467,0.000942028,0.000942028,0.000942028
19,17.4293,0.63594,0.78875,1.1737,0.99178,1,0.995,0.89296,0.48367,0.70678,1.04361,0.0009654,0.0009654,0.0009654
20,18.25,0.66174,0.78174,1.10158,0.99165,1,0.995,0.89461,0.4845,0.74942,1.06314,0.000985604,0.000985604,0.000985604
